chi,elevation,flow distance,drainage area
10.497,1116,73512,1.21E+08
10.481,1116,73442,1.21E+08
10.47,1109.1,73392,1.21E+08
10.453,1109.1,73321,1.21E+08
10.442,1109.1,73271,1.21E+08
10.425,1109,73200,1.21E+08
10.409,1109,73129,1.22E+08
10.393,1109,73059,1.22E+08
10.377,1109,72988,1.22E+08
10.36,1109,72917,1.22E+08
10.344,1109,72847,1.22E+08
10.328,1109,72776,1.22E+08
10.312,1109,72705,1.22E+08
10.295,1109,72634,1.22E+08
10.279,1109,72564,1.22E+08
10.263,1109,72493,1.22E+08
10.247,1109,72422,1.22E+08
10.23,1109,72352,1.22E+08
10.214,1109,72281,1.23E+08
10.198,1109,72210,1.24E+08
10.187,1104,72160,1.24E+08
10.175,1104,72110,1.24E+08
10.164,1104,72060,1.24E+08
10.148,1104,71989,1.24E+08
10.131,1090,71919,1.24E+08
10.115,1089,71848,1.24E+08
10.104,1088,71798,1.24E+08
10.088,1087,71727,1.24E+08
10.076,1087,71677,1.24E+08
10.06,1087,71607,1.24E+08
10.044,1087,71536,1.24E+08
10.028,1087,71465,1.24E+08
10.012,1086,71394,1.25E+08
10.001,1086,71344,1.25E+08
9.9892,1086,71294,1.25E+08
9.9778,1086,71244,1.25E+08
9.9617,1084,71174,1.25E+08
9.9456,1084,71103,1.25E+08
9.9343,1084,71053,1.25E+08
9.9182,1084,70982,1.25E+08
9.9022,1084,70912,1.25E+08
9.8861,1084,70841,1.25E+08
9.8701,1084,70770,1.25E+08
9.8587,1082,70720,1.25E+08
9.8427,1082,70649,1.27E+08
9.8314,1082,70599,1.27E+08
9.8201,1082,70549,1.27E+08
9.8088,1081,70499,1.27E+08
9.7975,1081,70449,1.27E+08
9.7862,1081,70399,1.27E+08
9.7702,1081,70329,1.27E+08
9.7543,1081,70258,1.27E+08
9.743,1080,70208,1.27E+08
9.7317,1078,70158,1.27E+08
9.7204,1078,70108,1.27E+08
9.7091,1078,70058,1.27E+08
9.6979,1078,70008,1.27E+08
9.6866,1078,69958,1.27E+08
9.6753,1077,69908,1.27E+08
9.664,1077,69858,1.27E+08
9.6481,1077,69787,1.28E+08
9.6368,1077,69737,1.28E+08
9.6209,1077,69667,1.28E+08
9.605,1077,69596,1.28E+08
9.5891,1077,69525,1.28E+08
9.5732,1077,69454,1.28E+08
9.5573,1077,69384,1.28E+08
9.5413,1077,69313,1.28E+08
9.5254,1077,69242,1.28E+08
9.5142,1077,69192,1.49E+08
9.5037,1076.2,69142,1.49E+08
9.4888,1076.2,69072,1.49E+08
9.474,1076.2,69001,1.49E+08
9.4591,1076.2,68930,1.49E+08
9.4443,1076.2,68860,1.49E+08
9.4294,1076.2,68789,1.49E+08
9.4146,1076.2,68718,1.49E+08
9.3997,1076.2,68647,1.49E+08
9.3849,1076.2,68577,1.49E+08
9.3701,1076.2,68506,1.49E+08
9.3552,1076.2,68435,1.49E+08
9.3404,1076.2,68365,1.49E+08
9.3255,1076.2,68294,1.49E+08
9.3107,1076.2,68223,1.49E+08
9.2959,1076.2,68152,1.50E+08
9.2854,1076.2,68102,1.51E+08
9.2706,1076.2,68032,1.51E+08
9.2559,1076.2,67961,1.51E+08
9.2411,1076.2,67890,1.51E+08
9.2264,1076.2,67820,1.51E+08
9.2116,1076.2,67749,1.51E+08
9.1969,1076.2,67678,1.51E+08
9.1821,1076.1,67607,1.51E+08
9.1674,1076.1,67537,1.51E+08
9.1527,1076.1,67466,1.52E+08
9.1379,1076.1,67395,1.52E+08
9.1232,1076.1,67325,1.52E+08
9.1128,1076.1,67275,1.52E+08
9.098,1076.1,67204,1.52E+08
9.0833,1076.1,67133,1.52E+08
9.0686,1076.1,67062,1.52E+08
9.0539,1076.1,66992,1.52E+08
9.0391,1076.1,66921,1.52E+08
9.0244,1076.1,66850,1.52E+08
9.0097,1076.1,66780,1.53E+08
8.995,1076.1,66709,1.54E+08
8.9804,1076.1,66638,1.54E+08
8.9657,1076.1,66567,1.54E+08
8.9511,1076.1,66497,1.54E+08
8.9365,1076.1,66426,1.54E+08
8.9219,1076.1,66355,1.54E+08
8.9072,1076.1,66285,1.54E+08
8.8926,1076.1,66214,1.54E+08
8.878,1076.1,66143,1.54E+08
